"ticket_no","name","ticket_title","description_plain","comments","solution"
T000099,BioScribe 2C,,"As per trailing mail, in June month Spectra Team updated the firmware of one of the Spectra Device at Vizag location for CSN Mode issue. After that we haven’t noticed CSN Mode issue. But recently we noticed that particular device (mounted inside the Vizag Server room) is getting hang. It happened 3 to 4 times in last few days. As of now we are restarting the device to bring it up.",device received.,device received.
T000100,iApp,,"As discussed, Can't Show Attendance in System 27th May To Till Date. As we have checked and found data flash memory is corrupted and need to send device to our service center . The GF Palanpur device has been repaired, and our engineer, Mr. Raj Patel, gives it to Mr. Bhagyesh.",waiting for device,We repair the device and sent back at client location.
T000100,iApp,,"As discussed, Can't Show Attendance in System 27th May To Till Date. As we have checked and found data flash memory is corrupted and need to send device to our service center . The GF Palanpur device has been repaired, and our engineer, Mr. Raj Patel, gives it to Mr. Bhagyesh.",waiting for device ,We repair the device and sent back at client location.
T000100,iApp,,"As discussed, Can't Show Attendance in System 27th May To Till Date. As we have checked and found data flash memory is corrupted and need to send device to our service center . The GF Palanpur device has been repaired, and our engineer, Mr. Raj Patel, gives it to Mr. Bhagyesh.",We repair the device and sent back at client location.,We repair the device and sent back at client location.
T000101,iApp,,"NEW Shift creation and overtime policy is pending. Please share all shift information and the over-time policy so that it can be created in the iApp , per our talks. We have created every shift with a 15-minute grace period in accordance with the email described below.Please double-check and confirm.","we create new shift.
add that shift in shift pattern.",Checked all of the parameters.
T000101,iApp,,"NEW Shift creation and overtime policy is pending. Please share all shift information and the over-time policy so that it can be created in the iApp , per our talks. We have created every shift with a 15-minute grace period in accordance with the email described below.Please double-check and confirm.","Checked all parameters.
Verified",Checked all of the parameters.
T000102,iApp,,DR Health Status Report,Prepare DR Status report and share to SBIC Team,report share to client
T000103,ARSWin-Net,,Punches not download.,We did all of activity  we found antivirus blocked exe port so we request to the client please disable antivirus for testing purpose. ,
T000103,ARSWin-Net,,Punches not download.,We did all of activity  we found antivirus blocked exe port so we request to the client please disable antivirus for testing purpose. ,
T000103,ARSWin-Net,,Punches not download.,We checked issue  with development team and we work with development team and data now downloading. ,
T000103,ARSWin-Net,,Punches not download.,We checked issue with development team and we work with development team and data now downloading.,
T000104,iApp,,Canteen device set to Device mode,Update client mode on device and it is under observation ,
T000104,iApp,,Canteen device set to Device mode,Under Observation ,
T000105,iApp,,"While employee is trying to open spectra, Employee code not found message is coming. please check he is not able to open 10026280",we reset the password and issue resolved.,we reset the password and issue resolved.
T000106,BioScribe 2C,,time mismatch,we checked the firmware and update it to latest version. and set the date and time scheduler.issue resolved.,we checked the firmware and update it to latest version. and set the date and time scheduler.issue resolved.
T000107,iApp,,device is offline,we checked the device database and suggested them to checked the LAN connection of that device. we restart the device and also checked the ping. device is online and issue resolved.,we checked the device database and suggested them to checked the LAN connection of that device. we restart the device and also checked the ping. device is online and issue resolved.
T000108,iApp,,Auditors' queries,Test tkt,Test tkt
T000110,UniStamp 3S,,Baddi locaiton device was not getting live in IAPP,done,done
T000111,,,Transaction view Shows time Error And Report Generate Time Error,"Take System Remote Access And Database Shrink And C Drive Clear And IIS Reset And Spectra Worker Service Restart And Mail Activity To Client
Call Time : 09:45 To 10:45 
(CRM Not Working This Way Live Ticket Not Updated)",Take System Remote Access And Database Shrink And C Drive Clear And IIS Reset And Spectra Worker Service Restart And Mail Activity To Client
T000118,ARSWin-Net,,Leave Balance Not Show In Some Employee,"Take Server System Remote Access And DB Changes In Elve Table And Leave Balance Added And Issue Resolved
Call Time - : 11:00 To 11:25
",Take Server System Remote Access And DB Changes In Elve Table And Leave Balance Added And Issue Resolved
